date,temp_max_f,temp_min_f,temp_mean_f,precip_in,wind_max_mph,humidity_mean,pressure_mean_hpa
2021-05-11,89.3,70.8,79.6,0.63,7.8,70.2,1009.1
2021-05-12,85.5,67.9,77.0,2.04,9.0,71.7,1015.1
2021-05-13,90.2,70.4,80.9,0.0,5.8,72.7,1017.8
2021-05-14,92.1,74.1,85.1,0.43,8.1,78.5,1015.1
2021-05-15,87.0,68.1,77.5,0.0,19.9,74.1,1022.6
2021-05-16,88.4,67.5,77.7,0.0,12.4,77.3,1015.0
2021-05-17,95.6,77.9,86.2,0.23,15.4,72.2,1013.7
2021-05-18,93.3,74.6,82.8,0.0,11.0,76.7,1011.1
2021-05-19,87.4,68.9,77.5,0.24,4.6,79.6,1020.5
2021-05-20,89.8,72.6,82.3,2.2,12.6,72.3,1010.7
2021-05-21,88.7,68.3,78.1,0.0,13.3,80.0,1013.8
2021-05-22,85.6,70.1,78.3,0.64,7.6,76.5,1010.6
2021-05-23,90.9,74.2,81.8,0.0,12.9,81.7,1012.4
2021-05-24,79.9,62.8,72.3,0.0,11.8,75.6,1012.1
2021-05-25,80.5,65.9,73.4,0.0,16.4,78.7,1012.9
2021-05-26,87.6,69.6,78.9,2.13,9.3,76.8,1006.5
2021-05-27,85.3,67.4,77.1,0.88,6.6,76.7,1008.9
2021-05-28,92.3,73.6,83.4,0.0,7.6,78.6,1022.8
2021-05-29,87.4,68.1,78.1,0.07,16.7,80.1,1014.9
2021-05-30,83.3,65.6,76.1,0.66,3.7,71.4,1015.7
2021-05-31,96.8,80.3,89.3,1.8,2.7,84.9,1016.7
2021-06-01,91.1,72.0,81.9,1.0,11.4,68.6,1019.3
2021-06-02,91.8,74.0,83.4,1.87,9.2,74.7,1004.9
2021-06-03,86.9,69.2,76.9,0.0,9.0,77.8,1010.1
2021-06-04,90.7,74.0,81.1,0.0,12.8,80.5,1011.8
2021-06-05,94.7,76.2,84.3,0.01,8.8,86.4,1010.1
2021-06-06,88.6,70.1,78.8,0.38,3.5,69.4,1010.8
2021-06-07,94.6,76.5,85.9,1.26,19.2,76.3,1010.2
2021-06-08,91.4,71.3,81.7,0.0,5.0,68.3,1015.9
2021-06-09,91.4,75.5,83.3,0.37,6.8,79.3,1012.1
2021-06-10,90.4,74.6,82.1,0.0,13.4,80.6,1012.1
2021-06-11,103.5,82.5,93.4,0.57,9.5,87.3,1003.3
2021-06-12,94.0,77.7,85.2,0.0,8.7,80.1,1011.0
2021-06-13,90.9,71.7,80.7,0.28,12.9,84.8,1009.8
2021-06-14,99.6,80.0,89.3,0.0,13.3,82.7,1014.0
2021-06-15,90.7,71.1,80.3,0.23,9.7,77.7,1007.5
2021-06-16,97.6,79.6,86.9,0.0,15.1,72.9,1013.0
2021-06-17,86.0,70.1,77.3,0.23,2.5,81.5,1007.5
2021-06-18,88.6,72.9,80.3,0.0,12.0,72.7,1014.5
2021-06-19,96.7,78.0,87.3,0.0,5.6,86.8,1010.7
2021-06-20,98.4,80.8,89.9,0.4,16.5,79.6,1008.6
2021-06-21,96.9,79.6,87.5,0.0,9.6,86.5,1009.8
2021-06-22,96.2,76.8,86.4,0.23,8.3,78.2,1011.4
2021-06-23,95.4,75.4,85.7,0.45,13.7,82.0,1008.5
2021-06-24,89.0,73.4,80.5,0.47,14.6,81.8,1015.6
2021-06-25,91.7,75.1,84.1,0.01,13.6,80.7,1013.6
2021-06-26,94.1,75.6,85.4,0.0,4.9,78.8,1014.7
2021-06-27,99.9,84.3,92.3,0.0,7.1,83.0,1011.8
2021-06-28,99.8,81.0,89.2,2.96,11.0,76.5,1013.5
2021-06-29,88.3,70.4,79.9,2.34,10.8,75.2,1014.8
2021-06-30,97.0,78.8,89.4,0.0,12.0,87.5,1015.6
2021-07-01,93.4,76.0,86.3,0.0,0.9,85.0,1021.4
2021-07-02,94.7,75.7,85.1,1.11,12.3,81.7,1013.8
2021-07-03,100.5,81.0,91.0,0.0,7.8,89.8,1018.7
2021-07-04,101.3,84.5,92.9,1.09,7.6,80.2,1012.5
2021-07-05,99.9,83.0,92.6,0.05,8.0,88.2,1014.7
2021-07-06,93.3,75.8,84.7,0.0,8.1,82.5,1011.8
2021-07-07,95.4,79.4,87.1,0.64,7.4,76.6,1010.2
2021-07-08,99.8,80.3,90.1,0.84,8.2,91.0,1013.4
2021-07-09,102.5,83.8,93.1,2.3,7.5,86.7,1013.4
2021-07-10,95.0,78.1,86.6,0.0,11.1,81.2,1017.0
2021-07-11,95.8,77.3,87.9,0.0,5.8,85.5,1019.4
2021-07-12,94.8,76.8,83.8,0.25,10.1,79.9,1006.3
2021-07-13,92.3,75.2,83.5,0.53,17.2,86.1,1008.1
2021-07-14,102.3,85.3,92.6,0.4,15.0,70.0,1012.9
2021-07-15,102.6,85.0,95.0,0.54,14.6,76.9,1009.1
2021-07-16,97.6,78.8,88.6,0.17,9.0,86.9,1025.5
2021-07-17,100.6,85.2,93.5,0.0,11.2,80.7,1017.1
2021-07-18,99.6,80.9,90.6,1.7,10.1,83.0,1011.7
2021-07-19,96.9,77.5,86.1,0.61,10.2,75.3,1009.9
2021-07-20,99.2,80.6,90.6,0.71,12.6,91.2,1010.1
2021-07-21,103.1,87.1,95.9,1.98,8.6,88.0,1012.1
2021-07-22,96.0,80.2,88.8,0.0,15.0,81.0,1015.4
2021-07-23,104.6,85.3,96.0,0.71,10.4,80.0,1010.2
2021-07-24,84.8,69.2,77.2,0.31,13.5,87.1,1010.9
2021-07-25,99.7,85.2,92.6,2.27,16.8,91.9,1017.4
2021-07-26,99.3,80.0,89.3,0.9,15.1,86.7,1017.5
2021-07-27,96.4,76.7,87.5,0.26,5.4,92.8,1013.0
2021-07-28,97.4,80.7,89.3,0.33,12.8,77.3,1006.6
2021-07-29,90.5,72.6,79.9,1.71,14.4,77.8,1014.2
2021-07-30,95.2,79.4,87.8,0.05,14.6,75.9,1018.2
2021-07-31,101.1,81.3,90.3,5.08,6.5,84.0,1017.5
2021-08-01,103.5,87.6,95.3,0.15,8.4,82.6,1014.9
2021-08-02,96.8,76.6,86.2,0.0,13.0,81.0,1020.7
2021-08-03,94.3,73.9,84.9,0.53,8.0,85.7,1012.2
2021-08-04,96.5,77.4,86.2,0.71,9.8,87.8,1014.5
2021-08-05,103.4,84.0,92.5,2.23,17.3,73.9,1009.3
2021-08-06,97.9,81.1,89.7,0.56,10.8,78.5,1013.2
2021-08-07,96.6,78.3,85.8,0.0,6.1,85.5,1020.3
2021-08-08,98.9,79.9,90.4,0.05,7.5,79.0,1009.6
2021-08-09,97.0,79.8,88.4,0.0,10.3,77.3,1011.6
2021-08-10,100.6,83.7,92.2,0.29,5.7,86.3,1012.4
2021-08-11,93.8,75.0,84.6,1.2,10.0,74.7,1011.1
2021-08-12,93.8,77.4,86.2,0.0,10.3,79.6,1017.6
2021-08-13,95.0,76.2,85.8,0.13,16.2,82.7,1010.2
2021-08-14,90.0,73.6,80.8,0.56,13.7,78.1,1018.9
2021-08-15,98.7,78.3,88.6,1.1,8.1,84.8,1006.8
2021-08-16,98.6,77.5,88.3,0.0,13.7,77.9,1020.0
2021-08-17,95.8,77.4,87.0,0.21,9.8,87.7,1008.9
2021-08-18,94.0,75.0,85.8,0.0,4.1,79.9,1007.8
2021-08-19,88.4,72.7,80.3,2.96,10.3,83.8,1013.0
2021-08-20,92.4,75.7,84.7,0.0,14.8,84.1,1014.0
2021-08-21,92.1,75.4,84.8,2.02,11.7,77.1,1007.6
2021-08-22,91.0,73.3,82.6,0.0,9.1,69.9,1008.3
2021-08-23,93.4,76.7,85.3,1.55,17.5,81.8,1012.0
2021-08-24,98.6,79.4,87.7,0.0,3.3,80.3,1018.9
2021-08-25,103.4,86.7,94.2,1.81,5.9,82.6,1014.3
2021-08-26,94.7,77.8,86.3,1.54,4.5,78.6,1012.2
2021-08-27,95.8,78.9,86.5,0.95,12.5,77.4,1013.9
2021-08-28,92.4,74.9,84.8,0.43,11.7,89.5,1011.9
2021-08-29,85.1,68.5,76.3,0.32,17.2,71.9,1006.3
2021-08-30,94.2,77.4,84.6,0.0,10.0,82.8,1009.3
2021-08-31,93.8,75.6,84.8,0.0,7.4,76.2,1014.2
2021-09-01,104.1,86.1,95.4,0.92,11.0,77.2,1011.4
2021-09-02,94.3,72.8,83.3,0.0,9.5,77.2,1018.4
2021-09-03,95.8,76.0,85.3,0.68,4.3,74.6,1015.0
2021-09-04,93.1,75.2,83.6,0.47,21.8,81.3,1014.4
2021-09-05,87.5,68.0,78.2,0.0,11.1,85.3,1013.9
2021-09-06,97.9,79.3,88.4,0.0,9.8,80.5,1009.5
2021-09-07,94.2,79.1,86.4,0.0,11.5,78.5,1016.6
2021-09-08,95.0,77.1,86.4,0.5,13.8,72.9,1014.1
2021-09-09,85.6,67.9,78.5,0.0,8.4,80.3,1005.4
2021-09-10,97.6,80.1,88.7,1.03,8.5,88.3,1008.7
2021-09-11,85.0,67.6,75.8,1.37,13.4,75.5,1009.2
2021-09-12,92.4,76.9,84.5,2.82,12.5,75.4,1012.5
2021-09-13,102.3,83.9,91.5,0.0,5.8,74.3,1011.8
2021-09-14,87.5,68.2,76.9,0.0,14.7,74.5,1014.8
2021-09-15,88.4,69.2,78.6,0.0,10.2,63.0,1014.2
2021-09-16,90.4,74.0,81.3,0.97,13.9,78.6,1011.4
2021-09-17,88.8,67.6,78.3,0.06,16.6,72.2,1009.1
2021-09-18,80.9,63.3,73.3,2.35,11.1,68.2,1009.4
2021-09-19,90.5,71.0,80.4,0.79,12.3,79.8,1007.7
2021-09-20,82.5,64.7,75.0,1.16,14.2,70.4,1013.5
2021-09-21,91.8,74.3,81.6,0.0,6.1,74.0,1017.3
2021-09-22,83.2,66.2,75.1,0.17,11.2,82.8,1008.9
2021-09-23,96.4,76.4,85.9,0.04,11.5,68.3,1018.1
2021-09-24,85.9,64.8,75.2,2.22,7.2,67.5,1010.7
2021-09-25,84.5,66.8,76.9,0.4,20.3,76.3,1018.1
2021-09-26,90.6,73.7,81.8,0.14,5.4,80.5,1009.4
2021-09-27,83.2,61.5,72.3,0.0,3.8,66.7,1006.9
2021-09-28,87.5,71.1,78.6,0.0,14.3,76.4,1016.6
2021-09-29,93.6,72.6,83.1,0.0,11.9,77.1,1016.0
2021-09-30,79.1,58.8,69.7,0.34,6.9,63.7,1012.1
2021-10-01,86.0,69.8,77.5,0.04,13.4,77.8,1009.4
2021-10-02,85.7,67.7,77.5,0.57,16.9,78.0,1011.9
2021-10-03,87.4,72.4,79.6,0.0,8.9,71.8,1013.0
2021-10-04,80.3,61.6,70.2,0.0,19.4,79.4,1013.8
2021-10-05,78.1,60.5,69.5,1.06,4.1,78.7,1015.4
2021-10-06,86.6,68.2,77.5,0.19,13.8,73.3,1012.7
2021-10-07,85.2,65.5,76.2,2.48,15.7,70.3,1014.4
2021-10-08,85.0,66.0,75.7,0.0,12.6,67.5,1014.1
2021-10-09,86.3,66.9,75.8,0.0,8.2,72.0,1013.6
2021-10-10,81.8,60.7,70.9,2.67,9.8,74.8,1007.4
2021-10-11,83.3,63.9,74.7,1.49,12.8,70.2,1010.5
2021-10-12,85.0,67.6,74.7,1.38,14.3,60.6,998.7
2021-10-13,79.9,58.9,69.8,1.3,13.4,77.7,1009.6
2021-10-14,90.4,73.8,81.1,0.23,15.2,72.1,1011.7
2021-10-15,85.4,64.3,74.6,0.25,6.9,69.1,1014.3
2021-10-16,74.6,58.6,66.8,0.0,8.1,75.0,1013.9
2021-10-17,82.2,67.2,74.8,0.0,5.2,78.2,1016.4
2021-10-18,77.5,58.4,67.1,0.61,9.5,56.3,1003.3
2021-10-19,83.5,65.2,74.7,0.0,13.1,72.3,1014.8
2021-10-20,86.5,67.6,76.1,1.61,11.4,62.8,1005.3
2021-10-21,77.5,59.7,66.9,0.63,21.4,72.2,1007.2
2021-10-22,81.8,65.2,74.6,1.65,11.8,70.1,1011.3
2021-10-23,82.3,61.2,71.8,1.92,11.2,72.5,1017.1
2021-10-24,82.1,64.8,73.3,1.12,11.4,66.6,1013.5
2021-10-25,86.9,70.0,77.9,0.27,8.4,59.5,1012.1
2021-10-26,77.4,59.2,67.9,0.34,10.8,66.4,1011.9
2021-10-27,76.0,58.1,65.3,0.0,13.5,70.5,1012.1
2021-10-28,71.5,54.1,64.4,0.04,11.5,73.4,1009.8
2021-10-29,73.3,54.1,64.4,0.11,7.8,62.2,1013.7
2021-10-30,77.2,58.1,67.5,0.08,7.3,73.0,1006.5
2021-10-31,78.9,60.6,69.0,0.0,7.2,64.4,1017.4
2021-11-01,78.2,58.2,68.4,0.84,11.3,69.3,1010.4
2021-11-02,78.2,61.4,70.6,0.0,13.8,64.7,1018.3
2021-11-03,74.9,56.3,66.7,0.0,3.6,68.0,1018.8
2021-11-04,81.3,63.3,72.8,0.0,7.7,71.3,1008.3
2021-11-05,75.0,54.7,64.8,0.0,9.6,60.5,1012.7
2021-11-06,86.1,68.5,77.9,0.9,3.7,63.1,1008.6
2021-11-07,76.1,59.6,68.2,0.0,5.7,67.2,1007.7
2021-11-08,72.1,50.4,61.3,0.0,6.3,78.1,1010.9
2021-11-09,67.0,50.8,60.0,0.0,5.8,61.6,1024.8
2021-11-10,77.7,57.3,66.7,0.0,9.8,75.9,1017.4
2021-11-11,72.9,55.4,63.2,0.41,10.4,75.5,1019.7
2021-11-12,77.5,57.7,67.2,0.0,6.8,64.8,1018.3
2021-11-13,74.0,56.5,65.8,0.64,12.7,63.6,1009.0
2021-11-14,70.1,55.3,63.1,0.0,15.9,61.5,1013.5
2021-11-15,69.3,52.1,59.3,0.0,15.6,64.4,1017.4
2021-11-16,66.4,46.6,56.0,0.0,1.3,57.5,1016.8
2021-11-17,70.5,50.5,60.5,0.4,13.3,64.0,1009.7
2021-11-18,73.7,57.0,66.1,0.52,10.3,71.7,1006.0
2021-11-19,73.0,55.1,63.0,0.0,9.6,61.0,1028.2
2021-11-20,66.2,46.5,56.1,0.0,7.4,62.6,1014.4
2021-11-21,71.9,54.9,62.3,0.0,9.5,55.2,1013.7
2021-11-22,73.0,54.2,63.0,0.0,9.6,65.4,1015.5
